tubeID,BIR_Nt,PAL_Nt,PAN_Nt,PSA_Nt,SIM_Nt,SUL_Nt,Type,Treatment,BIR_0,PAL_0,PAN_0,PSA_0,SIM_0,SUL_0,MeanEmergence,FocalSpecies,OtherSp,Temp,Parasitism,MeanGenTime,BIR_L,PAL_L,PAN_L,PSA_L,SIM_L,SUL_L,ObsGrRate,ObsCount_Pairs,Sp1_Dens,BIR,PAL,PAN,PSA,SIM,SUL,i,j,FocalSpeciesStartDens,OtherSpeciesStartDens
1507,0,0,5,0,0,0,Sp2,Hot Para,0,0,3,0,9,0,3.6769438033439625,PAN,SIM,Hot,Para,10.676943803343963,0,0,1.0509542016122857,0,0.6560940730811403,0,1.0509542016122857,5,NA,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,3,5,3,9
1508,0,0,0,0,39,0,Sp1,Hot Para,0,0,3,0,9,0,4.068080521258439,SIM,PAN,Hot,Para,11.06808052125844,0,0,0.7354315177546435,0,1.1419242541265435,0,1.1419242541265435,39,NA,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,5,3,9,3
1508,0,0,10.5,0,0,0,Sp2,Hot Para,0,0,3,0,9,0,3.6769438033439625,PAN,SIM,Hot,Para,10.676943803343963,0,0,1.1254931065321923,0,0.6560940730811403,0,1.1254931065321923,10.5,NA,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,3,5,3,9
1509,0,0,0,0,45.5,0,Sp1,Hot Para,0,0,3,0,9,0,4.068080521258439,SIM,PAN,Hot,Para,11.06808052125844,0,0,0.7354315177546435,0,1.1579014408571577,0,1.1579014408571577,45.5,NA,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,5,3,9,3
1509,0,0,10,0,0,0,Sp2,Hot Para,0,0,3,0,9,0,3.6769438033439625,PAN,SIM,Hot,Para,10.676943803343963,0,0,1.1204111881014698,0,0.6560940730811403,0,1.1204111881014698,10,NA,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,3,5,3,9
1512,0,0,0,0,67,0,Sp1,Hot Para,0,0,3,0,9,0,4.068080521258439,SIM,PAN,Hot,Para,11.06808052125844,0,0,0.7354315177546435,0,1.1990256788093276,0,1.1990256788093276,67,NA,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,5,3,9,3
1512,0,0,13,0,0,0,Sp2,Hot Para,0,0,3,0,9,0,3.6769438033439625,PAN,SIM,Hot,Para,10.676943803343963,0,0,1.1480380954899994,0,0.6560940730811403,0,1.1480380954899994,13,NA,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,3,5,3,9
1519,0,0,0,0,23.5,0,Sp1,Hot Para,0,0,3,0,12,0,4.3830162951613,SIM,PAN,Hot,Para,11.383016295161301,0,0,0.7417108564537837,0,1.061217245825776,0,1.061217245825776,23.5,NA,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,5,3,12,3
1519,0,0,10.5,0,0,0,Sp2,Hot Para,0,0,3,0,12,0,3.88511541211558,PAN,SIM,Hot,Para,10.88511541211558,0,0,1.1229513379219263,0,0.644152341371601,0,1.1229513379219263,10.5,NA,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,3,5,3,12
1520,0,0,0,0,30,0,Sp1,Hot Para,0,0,3,0,12,0,4.3830162951613,SIM,PAN,Hot,Para,11.383016295161301,0,0,0.7417108564537837,0,1.0841417392379793,0,1.0841417392379793,30,NA,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,5,3,12,3
1520,0,0,6,0,0,0,Sp2,Hot Para,0,0,3,0,12,0,3.88511541211558,PAN,SIM,Hot,Para,10.88511541211558,0,0,1.067369237471488,0,0.644152341371601,0,1.067369237471488,6,NA,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,3,5,3,12
1521,0,0,0,0,53.5,0,Sp1,Hot Para,0,0,3,0,12,0,4.3830162951613,SIM,PAN,Hot,Para,11.383016295161301,0,0,0.7417108564537837,0,1.1405154414405732,0,1.1405154414405732,53.5,NA,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,5,3,12,3
1521,0,0,5.5,0,0,0,Sp2,Hot Para,0,0,3,0,12,0,3.88511541211558,PAN,SIM,Hot,Para,10.88511541211558,0,0,1.0590159888484645,0,0.644152341371601,0,1.0590159888484645,5.5,NA,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,3,5,3,12
1524,0,0,0,0,54.5,0,Sp1,Hot Para,0,0,3,0,12,0,4.3830162951613,SIM,PAN,Hot,Para,11.383016295161301,0,0,0.7417108564537837,0,1.1423690225069167,0,1.1423690225069167,54.5,NA,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,5,3,12,3
1524,0,0,13.5,0,0,0,Sp2,Hot Para,0,0,3,0,12,0,3.88511541211558,PAN,SIM,Hot,Para,10.88511541211558,0,0,1.1489579961156287,0,0.644152341371601,0,1.1489579961156287,13.5,NA,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,3,5,3,12
1531,0,0,0,0,23.5,0,Sp1,Hot Para,0,0,0,3,3,0,3.438208973452714,SIM,PSA,Hot,Para,10.438208973452713,0,0,0,0.7219198991542457,1.2184800811411274,0,1.2184800811411274,23.5,NA,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,5,4,3,3
