tubeID,BIR_Nt,PAL_Nt,PAN_Nt,PSA_Nt,SIM_Nt,SUL_Nt,Type,BIR_0,PAL_0,PAN_0,PSA_0,SIM_0,SUL_0,FocalSpecies,OtherSp,Parasitism,ObsCount_Pairs,i,j,FocalSpeciesStartDens,OtherSpeciesStartDens
920,0,0,0,0,0,8,Sp2,0,3,0,0,0,3,SUL,PAL,Para,8,6,2,3,3
924,0,14,0,0,0,0,Sp1,0,3,0,0,0,3,PAL,SUL,Para,14,2,6,3,3
924,0,0,0,0,0,6,Sp2,0,3,0,0,0,3,SUL,PAL,Para,6,6,2,3,3
931,0,2,0,0,0,0,Sp1,0,3,0,0,0,6,PAL,SUL,Para,2,2,6,3,6
931,0,0,0,0,0,1,Sp2,0,3,0,0,0,6,SUL,PAL,Para,1,6,2,6,3
932,0,22,0,0,0,0,Sp1,0,3,0,0,0,6,PAL,SUL,Para,22,2,6,3,6
932,0,0,0,0,0,17,Sp2,0,3,0,0,0,6,SUL,PAL,Para,17,6,2,6,3
936,0,8,0,0,0,0,Sp1,0,3,0,0,0,6,PAL,SUL,Para,8,2,6,3,6
936,0,0,0,0,0,3,Sp2,0,3,0,0,0,6,SUL,PAL,Para,3,6,2,6,3
943,0,13,0,0,0,0,Sp1,0,3,0,0,0,9,PAL,SUL,Para,13,2,6,3,9
943,0,0,0,0,0,6,Sp2,0,3,0,0,0,9,SUL,PAL,Para,6,6,2,9,3
944,0,1,0,0,0,0,Sp1,0,3,0,0,0,9,PAL,SUL,Para,1,2,6,3,9
944,0,0,0,0,0,18,Sp2,0,3,0,0,0,9,SUL,PAL,Para,18,6,2,9,3
948,0,3,0,0,0,0,Sp1,0,3,0,0,0,9,PAL,SUL,Para,3,2,6,3,9
948,0,0,0,0,0,27,Sp2,0,3,0,0,0,9,SUL,PAL,Para,27,6,2,9,3
955,0,11,0,0,0,0,Sp1,0,3,0,0,0,12,PAL,SUL,Para,11,2,6,3,12
955,0,0,0,0,0,8,Sp2,0,3,0,0,0,12,SUL,PAL,Para,8,6,2,12,3
956,0,5,0,0,0,0,Sp1,0,3,0,0,0,12,PAL,SUL,Para,5,2,6,3,12
956,0,0,0,0,0,15,Sp2,0,3,0,0,0,12,SUL,PAL,Para,15,6,2,12,3
960,0,10,0,0,0,0,Sp1,0,3,0,0,0,12,PAL,SUL,Para,10,2,6,3,12
960,0,0,0,0,0,19,Sp2,0,3,0,0,0,12,SUL,PAL,Para,19,6,2,12,3
967,0,17,0,0,0,0,Sp1,0,6,0,0,0,3,PAL,SUL,Para,17,2,6,6,3
967,0,0,0,0,0,2,Sp2,0,6,0,0,0,3,SUL,PAL,Para,2,6,2,3,6
968,0,20,0,0,0,0,Sp1,0,6,0,0,0,3,PAL,SUL,Para,20,2,6,6,3
968,0,0,0,0,0,4,Sp2,0,6,0,0,0,3,SUL,PAL,Para,4,6,2,3,6
972,0,13,0,0,0,0,Sp1,0,6,0,0,0,3,PAL,SUL,Para,13,2,6,6,3
972,0,0,0,0,0,8,Sp2,0,6,0,0,0,3,SUL,PAL,Para,8,6,2,3,6
979,0,17,0,0,0,0,Sp1,0,9,0,0,0,3,PAL,SUL,Para,17,2,6,9,3
979,0,0,0,0,0,1,Sp2,0,9,0,0,0,3,SUL,PAL,Para,1,6,2,3,9
980,0,25,0,0,0,0,Sp1,0,9,0,0,0,3,PAL,SUL,Para,25,2,6,9,3
980,0,0,0,0,0,0,Sp2,0,9,0,0,0,3,SUL,PAL,Para,0,6,2,3,9
984,0,16,0,0,0,0,Sp1,0,9,0,0,0,3,PAL,SUL,Para,16,2,6,9,3
984,0,0,0,0,0,14,Sp2,0,9,0,0,0,3,SUL,PAL,Para,14,6,2,3,9
991,0,26,0,0,0,0,Sp1,0,12,0,0,0,3,PAL,SUL,Para,26,2,6,12,3
991,0,0,0,0,0,2,Sp2,0,12,0,0,0,3,SUL,PAL,Para,2,6,2,3,12
992,0,21,0,0,0,0,Sp1,0,12,0,0,0,3,PAL,SUL,Para,21,2,6,12,3
992,0,0,0,0,0,5,Sp2,0,12,0,0,0,3,SUL,PAL,Para,5,6,2,3,12
996,0,17,0,0,0,0,Sp1,0,12,0,0,0,3,PAL,SUL,Para,17,2,6,12,3
996,0,0,0,0,0,16,Sp2,0,12,0,0,0,3,SUL,PAL,Para,16,6,2,3,12
1243,0,0,0,2,0,0,Sp1,0,0,3,3,0,0,PSA,PAN,Para,2,4,3,3,3
1243,0,0,0,0,0,0,Sp2,0,0,3,3,0,0,PAN,PSA,Para,0,3,4,3,3
1244,0,0,0,10,0,0,Sp1,0,0,3,3,0,0,PSA,PAN,Para,10,4,3,3,3
1244,0,0,2,0,0,0,Sp2,0,0,3,3,0,0,PAN,PSA,Para,2,3,4,3,3
1245,0,0,0,4,0,0,Sp1,0,0,3,3,0,0,PSA,PAN,Para,4,4,3,3,3
